Season,Top 10 Characters,Average IMDb Rating
1,"eddard stark, petyr baelish, robert baratheon, cersei lannister, jaime lannister, grand maester pycelle, varys, jory cassel, renly baratheon, barristan selmy",9.1
2,"tyrion lannister, cersei lannister, sansa stark, varys, joffrey lannister, shae, bronn, ros, sandor clegane, janos",8.96
3,"tyrion lannister, sansa stark, tywin lannister, cersei lannister, shae, joffrey lannister, margaery tyrell, petyr baelish, varys, olenna tyrell",9.05
4,"jon snow, sam, locke, tormund, gilly, grenn, alliser, pyp, maester aemon, ygritte",9.309999999999999
5,"jon snow, sam, stannis baratheon, gilly, shireen, davos, melisandre, tormund, maester aemon, olly",8.83
6,"cersei lannister, jaime lannister, margaery tyrell, sparrow, brienne, qyburn, tommen lannister, olenna tyrell, bronn, walder frey",9.059999999999999
7,"jon snow, daenerys targaryen, tyrion lannister, davos, theon greyjoy, missandei, gendry baratheon, varys, grey worm, melisandre",9.1
8,"tyrion lannister, jaime lannister, davos, bran stark, tormund, grey worm, brienne, missandei, teela, gilly",6.333333333333333
